Run Length,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Count Sort,Radix Sort,
10,2.50337e-08,2.617e-08,3.87846e-08,2.69771e-07,4.43261e-08,-,6.76383e-07,
20,2.66408e-08,2.57926e-08,6.95671e-08,5.12814e-07,9.15455e-08,-,9.46066e-07,
50,5.51164e-08,5.19294e-08,3.55386e-07,1.36891e-06,3.9445e-07,-,1.93e-06,
100,1.14356e-07,7.601e-08,1.2891e-06,2.83489e-06,1.36322e-06,-,3.51689e-06,
1000,5.21555e-06,9.0535e-07,0.000118015,3.12051e-05,0.00011409,-,3.26025e-05,
10000,0.000856939,5.65784e-05,0.0106084,0.000332662,0.0105045,-,0.000323917,
100000,0.0519759,0.00274446,1.0743,0.00378988,1.07371,-,0.00377019,
250000,1.02272,0.0569581,6.8803,0.0100889,6.80894,-,0.00885373,
500000,3.24019,0.169686,29.0853,0.0221788,17.3379,-,0.0208861,
1000000,0.000227304,0.000425626,23.1608,0.0390525,-,-,0.0340663,
2500000,27.8531,0.710564,-,0.101968,-,-,0.103348,
5000000,-,0.00236352,-,0.210772,-,-,0.338409,
10000000,-,0.0062134,-,0.434624,-,-,0.675553,
