Run Length,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Count Sort,Radix Sort,
10,3.29093e-08,2.71698e-08,4.70005e-08,2.53514e-07,5.50521e-08,-,6.0176e-07,
20,8.04822e-08,4.38367e-08,9.61012e-08,5.03091e-07,8.6702e-08,-,9.2411e-07,
50,3.63011e-07,1.30011e-07,3.81541e-07,1.37144e-06,2.80743e-07,-,1.85417e-06,
100,1.34537e-06,4.6089e-07,1.39412e-06,2.87905e-06,9.57397e-07,-,3.53532e-06,
1000,0.000162687,0.000134057,0.000131155,3.07004e-05,3.37656e-05,-,3.27676e-05,
10000,0.0160948,0.0112586,0.0116941,0.000338576,0.00271684,-,0.000311499,
100000,1.66571,1.15247,1.20617,0.00401407,0.28031,-,0.00380659,
250000,10.7784,7.53184,7.88714,0.0104262,1.80148,-,0.00887849,
500000,-,-,-,0.0228203,5.99358,-,0.0203311,
1000000,-,-,-,0.0508573,7.39277,-,0.0470583,
2500000,-,-,-,0.116235,-,-,0.107999,
5000000,-,-,-,0.224736,-,-,0.3618,
10000000,-,-,-,0.474095,-,-,0.707626,
