Run Length,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Count Sort,Radix Sort,
10,1.29922e-07,8.57623e-08,9.31651e-08,3.11272e-07,1.59923e-07,2.78607e-05,3.47079e-07,
20,4.31897e-07,1.59495e-07,2.72061e-07,6.52501e-07,3.78699e-07,3.0035e-05,5.16617e-07,
50,1.95583e-06,5.00575e-07,1.10492e-06,1.82695e-06,1.12829e-06,3.28548e-05,1.04126e-06,
100,5.69248e-06,1.34582e-06,3.16346e-06,3.86649e-06,2.48113e-06,3.4158e-05,1.8615e-06,
1000,0.000283885,8.24355e-05,0.000140298,4.42395e-05,3.24378e-05,4.13603e-05,1.58688e-05,
10000,0.0260023,0.00798205,0.0109022,0.000485015,0.000383892,0.000107547,0.000156845,
100000,2.66731,0.778377,1.09106,0.00569163,0.00452719,0.000387354,0.0020464,
250000,8.67925,4.93735,7.01413,0.0149344,0.0119757,0.00056428,0.00442154,
500000,-,20.4673,17.4862,0.0327259,0.0247994,0.000879297,0.0117902,
1000000,-,16.7548,-,0.0674087,0.049253,0.0013081,0.025784,
2500000,-,-,-,0.178208,0.121305,0.00255063,0.0668632,
5000000,-,-,-,0.378877,0.239835,0.00497231,0.213791,
10000000,-,-,-,0.764643,0.472249,0.0104231,0.404672,
