Run Length,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Count Sort,Radix Sort,
10,2.34448e-08,2.61366e-08,3.77351e-08,2.58648e-07,4.25838e-08,-,6.16806e-07,
20,2.26528e-08,2.43955e-08,6.70283e-08,4.87151e-07,8.91262e-08,-,9.15805e-07,
50,3.43078e-08,4.45392e-08,3.11779e-07,1.30663e-06,3.77802e-07,-,1.81497e-06,
100,4.5607e-08,6.0628e-08,1.13932e-06,2.68825e-06,1.288e-06,-,3.3461e-06,
1000,2.6315e-07,4.74128e-07,0.000115889,3.00349e-05,0.0001149,-,3.08395e-05,
10000,2.1661e-06,4.2189e-06,0.0107674,0.000339481,0.0106854,-,0.000329588,
100000,3.14308e-05,4.25456e-05,1.08759,0.00379991,1.09802,-,0.00420281,
250000,6.8346e-05,0.000113618,7.04864,0.0102092,7.02105,-,0.0105572,
500000,0.000121746,0.00023043,-,0.0218793,29.6751,-,0.0227001,
1000000,0.000269938,0.00050309,-,0.0427567,-,-,0.039859,
2500000,0.000562727,0.00125447,-,0.111582,-,-,0.116117,
5000000,0.00111689,0.00217662,-,0.233496,-,-,0.384549,
10000000,0.00533929,0.00686355,-,0.490458,-,-,0.783996,
